Country Name,Año,Migración neta,Desempleo,PIB per cápita (US$ a precios actuales),hdi,Esperanza_vida,Año_prom_esc,PBI_per_cap_aj
Argentina,1990,6021.0,,4330.96745108666,0.723,71.7837,8.126089428,13597.68636
Argentina,1991,-8569.0,5.44,5730.72380988423,0.73,72.319,8.192950249,14803.99888
Argentina,1992,-13201.0,6.36,6815.33162293557,0.735,72.4295,8.260361195,15940.72602
Argentina,1993,-16383.0,10.1,6957.41749889251,0.739,72.5646,8.327772141,17132.68448
Argentina,1994,-18725.0,11.76,7464.4747368819,0.744,73.1725,8.395183086,17874.84399
Argentina,1995,-19736.0,18.8,7383.70450960064,0.745,73.1333,8.462594032,17091.77126
Argentina,1996,-20396.0,17.11,7690.15700254783,0.751,73.3066,8.530004978,17782.84547
Argentina,1997,-20588.0,14.82,8176.77119517435,0.756,73.0899,8.597415924,18984.60422
Argentina,1998,-20331.0,12.65,8250.67317414321,0.762,73.4737,8.66482687,19427.08332
Argentina,1999,-20220.0,14.05,7735.32208018486,0.773,73.7219,8.732237816,18535.78094
Argentina,2000,-22770.0,15.0,7666.51783423783,0.779,73.926,8.799648762,18180.44981
Argentina,2001,-22787.0,17.32,7168.97587232911,0.784,74.1864,8.867059708,17153.2977
Argentina,2002,-22668.0,19.59,2579.48876933284,0.785,74.408,9.391139984,14727.85071
Argentina,2003,-22353.0,15.36,3333.15290388997,0.793,74.0801,9.915220261,16057.21074
Argentina,2004,-22336.0,13.52,4258.16026060875,0.798,74.8549,10.00709343,16058.54354
Argentina,2005,-21961.0,11.51,5086.62776073134,0.802,75.1388,10.0989666,17271.06449
Argentina,2006,-19958.0,10.08,5890.97800169795,0.814,75.4326,10.19083977,20131.40256
Argentina,2007,-18051.0,8.47,7210.59554755899,0.817,75.0057,10.29859972,21872.98639
Argentina,2008,-12450.0,7.84,8977.50685093365,0.825,75.6411,10.40635967,22558.47112
Argentina,2009,-7869.0,8.65,8184.38988923991,0.827,75.9359,10.54321003,20884.44997
Argentina,2010,-4970.0,7.71,10385.9644319555,0.834,75.7208,10.59963989,22734.96712
Argentina,2011,-1011.0,7.18,12848.7404762598,0.841,76.124,10.69979,23944.3551
Argentina,2012,3127.0,7.22,13082.664325572,0.843,76.4669,10.78507042,23557.51314
Argentina,2013,5369.0,7.1,13080.2547323367,0.845,76.4908,10.89459991,23915.41972
Argentina,2014,5801.0,7.27,12334.7982453893,0.846,76.7549,10.90851021,23087.86964
Argentina,2015,5522.0,7.524,13789.060424772,0.848,76.7602,10.91755009,23508.76738
Argentina,2016,5215.0,8.109,12790.2640639201,0.847,76.3077,10.92819023,22694.2851
Argentina,2017,4926.0,8.35,14613.035714704,0.851,76.833,11.01644516,22996.67142
Argentina,2018,4690.0,9.22,11795.1628852236,0.85,76.9994,11.10470009,21924.73119
Argentina,2019,4478.0,9.84,9963.67423069626,0.852,77.2845,11.14726927,21197.74104
Argentina,2020,2344.0,11.46,8496.428156755,0.84,75.8921,11.14726927,19178.33184
Argentina,2021,2344.0,8.74,10636.1155301986,0.842,75.3899,11.14726927,20925.26814
Antigua y Barbuda,1990,-1145.0,,7255.40630322086,,73.4922,,13560.30944
Antigua y Barbuda,1991,223.0,,7569.96900096501,,73.4354,,14154.41386
Antigua y Barbuda,1992,405.0,,7721.76311853696,,73.4168,,14185.23142
Antigua y Barbuda,1993,484.0,,8129.14412118471,,73.4819,,14895.35744
Antigua y Barbuda,1994,513.0,,8788.01332343794,,73.5912,,15516.76116
Antigua y Barbuda,1995,528.0,,8440.03452559258,,73.6363,,14501.13254
Antigua y Barbuda,1996,478.0,,9079.48121192054,,73.8291,,15209.58976
Antigua y Barbuda,1997,493.0,,9556.83280236062,,73.9603,,15843.65803
Antigua y Barbuda,1998,465.0,,10029.4777498107,,74.0413,,16310.15498
Antigua y Barbuda,1999,390.0,,10379.1604015118,,74.3467,,16557.38996
Antigua y Barbuda,2000,271.0,,11010.1974601342,,74.6058,7.026353,16065.83719
Antigua y Barbuda,2001,148.0,,10502.9388110146,,75.0781,8.911,15678.54545
Antigua y Barbuda,2002,51.0,,10549.6661892802,,75.5357,8.962747824,15586.60406
Antigua y Barbuda,2003,41.0,,10968.8926839103,,75.4778,9.014495648,16396.23817
Antigua y Barbuda,2004,101.0,,11650.8484770858,,75.6721,9.066243472,16972.51905
Antigua y Barbuda,2005,202.0,,12808.0101536637,,75.8254,9.117991296,18213.73908
Antigua y Barbuda,2006,314.0,,14310.6862347854,,75.7647,9.169739121,20253.5277
Antigua y Barbuda,2007,372.0,,16006.1361107498,0.802,76.1311,9.221486945,21792.18713
Antigua y Barbuda,2008,369.0,,16457.1040632589,0.801,76.4103,9.273234769,21504.71644
Antigua y Barbuda,2009,338.0,,14530.5986896353,0.795,76.6694,9.324982593,18698.75383
Antigua y Barbuda,2010,295.0,,13404.5160161036,0.79,76.8195,9.2361755,17233.05965
Antigua y Barbuda,2011,247.0,,13117.1469408968,0.783,77.1038,8.99,16539.63424
Antigua y Barbuda,2012,203.0,,13686.4765853976,0.787,77.3502,9.03495,16745.79664
Antigua y Barbuda,2013,156.0,,13350.149136673,0.787,77.5834,9.08012475,16722.97555
Antigua y Barbuda,2014,108.0,,14004.8112122163,0.789,77.8577,9.125525374,17119.31079
Antigua y Barbuda,2015,60.0,,14861.8827074704,0.791,77.9127,9.171153001,17679.66135
Antigua y Barbuda,2016,16.0,,15862.6516627488,0.794,78.1516,9.217008766,18421.76805
Antigua y Barbuda,2017,0.0,,16110.31239978,0.795,78.2683,9.263093809,18775.95101
Antigua y Barbuda,2018,0.0,,17514.3558637327,0.798,78.5112,9.293740746,19857.12506
Antigua y Barbuda,2019,0.0,,18187.7797117112,0.8,78.6912,9.293740746,20600.95888
Antigua y Barbuda,2020,0.0,,15284.7723835378,0.788,78.8406,9.293740746,16265.29515
Antigua y Barbuda,2021,0.0,,16740.3481963818,0.788,78.4968,9.293740746,16792.36595
Bahamas,1990,241.0,,11696.5113658614,,70.1331,10.01280022,36393.867
Bahamas,1991,416.0,12.17,11269.9505176448,,69.6157,10.11538124,34188.60611
Bahamas,1992,436.0,14.81,11025.8783642405,,70.6679,10.21796227,33169.54419
Bahamas,1993,448.0,12.72,10730.0009716689,,70.6559,10.32054329,32220.53644
Bahamas,1994,458.0,13.83,11085.1471273516,,70.8507,10.42312431,32643.14922
Bahamas,1995,463.0,10.83,11447.0178999446,0.781,70.7628,10.52570534,38786.12237
Bahamas,1996,457.0,11.46,11835.386789885,0.787,70.7101,10.62828636,42678.66489
